0,0,0,1.2192,2.6648,-0.0004,2.9464
0.0206,0.0174,0.8438,1.2196,2.6648,-0.0048,2.9479
0.0406,0.046,1.4275,1.2205,2.6648,-0.0187,2.9523
0.0602,0.0756,1.5168,1.222,2.6648,-0.0448,2.9594
0.0803,0.1054,1.4792,1.2241,2.6648,-0.0839,2.9695
0.1001,0.1354,1.5113,1.2268,2.6648,-0.1359,2.9824
0.12,0.1651,1.497,1.2301,2.6648,-0.2001,2.9983
0.14,0.195,1.4979,1.234,2.6648,-0.2769,3.0172
0.1602,0.2251,1.4922,1.2385,2.6648,-0.3664,3.0394
0.18,0.2552,1.5112,1.2436,2.6647,-0.4677,3.0643
0.2001,0.2851,1.4924,1.2493,2.6647,-0.5803,3.0927
0.2201,0.3152,1.5032,1.2556,2.6646,-0.7046,3.1242
0.24,0.3451,1.5021,1.2625,2.6645,-0.8392,3.1589
0.26,0.3751,1.4974,1.27,2.6643,-0.9843,3.1972
0.28,0.405,1.5012,1.2781,2.6642,-1.1396,3.239
0.3001,0.4351,1.4972,1.2868,2.664,-1.3046,3.2846
0.32,0.4651,1.5038,1.2961,2.6637,-1.4785,3.3337
0.34,0.495,1.4968,1.306,2.6635,-1.6609,3.3869
0.36,0.525,1.5027,1.3165,2.6631,-1.8515,3.4441
0.3801,0.555,1.4965,1.3276,2.6627,-2.0497,3.5057
0.4001,0.5851,1.5019,1.3393,2.6623,-2.2551,3.5716
0.42,0.6151,1.5013,1.3516,2.6617,-2.4664,3.642
0.4401,0.6451,1.4984,1.3645,2.6611,-2.6837,3.7174
0.4601,0.6751,1.5006,1.3779,2.6604,-2.9064,3.7979
0.48,0.7051,1.5003,1.392,2.6597,-3.1337,3.8836
0.5,0.7351,1.4999,1.4067,2.6588,-3.3652,3.9749
0.52,0.7651,1.4997,1.422,2.6579,-3.6004,4.0722
0.54,0.795,1.5014,1.4378,2.6568,-3.8384,4.1755
0.56,0.8251,1.4972,1.4543,2.6556,-4.0792,4.2859
0.58,0.8551,1.5028,1.4713,2.6543,-4.322,4.4029
0.6,0.885,1.4987,1.489,2.6529,-4.566,4.5276
0.62,0.915,1.5003,1.5072,2.6514,-4.811,4.6601
0.64,0.945,1.5001,1.526,2.6497,-5.0565,4.8012
0.66,0.975,1.4982,1.5455,2.6479,-5.3021,4.9518
0.68,1.0051,1.5014,1.5655,2.646,-5.5473,5.112
0.7,1.035,1.5011,1.586,2.6439,-5.791,5.2824
0.72,1.065,1.4978,1.6072,2.6416,-6.0335,5.465
0.74,1.095,1.5023,1.629,2.6393,-6.274,5.6592
0.76,1.125,1.4976,1.6514,2.6367,-6.5122,5.8678
0.78,1.155,1.5019,1.6743,2.634,-6.7478,6.0905
0.8,1.185,1.4989,1.6978,2.6311,-6.98,6.3297
0.82,1.215,1.5002,1.7219,2.6281,-7.2089,6.5867
0.84,1.2451,1.5001,1.7466,2.6248,-7.4338,6.8636
0.86,1.2751,1.5,1.7719,2.6214,-7.6545,7.1624
0.88,1.3051,1.4999,1.7978,2.6179,-7.8705,7.486
0.9,1.3351,1.4999,1.8242,2.6141,-8.0816,7.8369
0.92,1.365,1.5011,1.8512,2.6102,-8.2873,8.2187
0.94,1.395,1.4985,1.8788,2.6061,-8.4874,8.6368
0.96,1.425,1.501,1.9069,2.6018,-8.6817,9.0952
0.98,1.455,1.4997,1.9357,2.5973,-8.8696,9.6007
1,1.485,1.4998,1.965,2.5926,-9.0511,10.1616
1.02,1.515,1.4998,1.9949,2.5877,-9.2257,10.7869
